substanceBXH,gene_symbol
EBF3,EBF3
EBLN2,EBLN2
EBP,EBP
EBPL,EBPL
EDA2R,EDA2R
EDDM3A,EDDM3A
EDEM2,EDEM2
EDIL3,EDIL3
EDNRB,EDNRB
EEF1B2,EEF1B2
EFHC1,EFHC1
EFHD1,EFHD1
EFNA1,EFNA1
EFNB1,EFNB1
EFNB3,EFNB3
EFS,EFS
EGFL6,EGFL6
EGFL7,EGFL7
EGFR,EGFR
EHD2,EHD2
EI24,EI24
EID1,EID1
EID3,EID3
EIF2B2,EIF2B2
EIF2C2,EIF2C2
EIF2C4,EIF2C4
EIF2D,EIF2D
EIF3A,EIF3A
EIF3C,EIF3C
EIF3E,EIF3E
EIF3J,EIF3J
EIF3K,EIF3K
EIF4ENIF1,EIF4ENIF1
EIF5,EIF5
EIF5AL1,EIF5AL1
ELAC1,ELAC1
ELAC2,ELAC2
ELAVL1,ELAVL1
ELAVL2,ELAVL2
ELAVL3,ELAVL3
ELAVL4,ELAVL4
ELK1,ELK1
ELMO3,ELMO3
ELOVL2,ELOVL2
ELOVL7,ELOVL7
ELP3,ELP3
ELTD1,ELTD1
EMB,EMB
EME1,EME1
EML2,EML2
EMP1,EMP1
EMR3,EMR3
EMX1,EMX1
EN2,EN2
ENDOG,ENDOG
ENGASE,ENGASE
ENO1,ENO1
ENOSF1,ENOSF1
ENOX2,ENOX2
ENTPD3,ENTPD3
ENY2,ENY2
EPCAM,EPCAM
EPDR1,EPDR1
EPGN,EPGN
EPHA4,EPHA4
EPHA8,EPHA8
EPM2AIP1,EPM2AIP1
EPN2,EPN2
EPOR,EPOR
EPPK1,EPPK1
EPRS,EPRS
EPS8L1,EPS8L1
EPS8L2,EPS8L2
EPSTI1,EPSTI1
ERAP1,ERAP1
ERCC6L,ERCC6L
ERI1,ERI1
ERI3,ERI3
ERICH1,ERICH1
ERMAP,ERMAP
ERV3-1,ERV3-1
ERVH-3,ERVH-3
ETFA,ETFA
ETV1,ETV1
ETV5,ETV5
EVI5L,EVI5L
EXD1,EXD1
EXOC3,EXOC3
EXOC3L2,EXOC3L2
EXOC5,EXOC5
EXOSC1,EXOSC1
EXOSC4,EXOSC4
EXT1,EXT1
EXT2,EXT2
F3,F3
F7,F7
FABP12,FABP12
FAIM3,FAIM3
FAM102A,FAM102A
FAM105B,FAM105B
FAM107A,FAM107A
FAM108C1,FAM108C1
FAM114A2,FAM114A2
FAM124A,FAM124A
FAM127B,FAM127B
FAM129C,FAM129C
FAM154A,FAM154A
FAM155A,FAM155A
FAM156A,FAM156A
FAM162A,FAM162A
FAM163A,FAM163A
FAM170A,FAM170A
FAM170B,FAM170B
FAM172A,FAM172A
FAM173B,FAM173B
FAM175A,FAM175A
FAM176B,FAM176B
FAM179B,FAM179B
FAM181A,FAM181A
FAM181B,FAM181B
FAM186B,FAM186B
FAM189B,FAM189B
FAM18B2-CDRT4,FAM18B2-CDRT4
FAM193A,FAM193A
FAM194A,FAM194A
FAM205B,FAM205B
FAM20B,FAM20B
FAM26E,FAM26E
FAM27E3,FAM27E3
FAM3B,FAM3B
FAM40B,FAM40B
FAM43B,FAM43B
FAM46A,FAM46A
FAM46D,FAM46D
FAM47C,FAM47C
FAM47E,FAM47E
FAM48A,FAM48A
FAM49B,FAM49B
FAM53A,FAM53A
FAM54B,FAM54B
FAM55A,FAM55A
FAM63A,FAM63A
FAM63B,FAM63B
FAM69B,FAM69B
FAM71A,FAM71A
FAM71C,FAM71C
FAM71D,FAM71D
FAM71F2,FAM71F2
FAM73B,FAM73B
FAM75A3,FAM75A3
FAM75D1,FAM75D1
FAM75D3,FAM75D3
FAM75D4,FAM75D4
FAM78A,FAM78A
FAM81B,FAM81B
FAM82A1,FAM82A1
FAM83D,FAM83D
FAM83E,FAM83E
FAM86HP,FAM86HP
FAM89B,FAM89B
FAM95B1,FAM95B1
FAM98B,FAM98B
FANCB,FANCB
FANCI,FANCI
FARP2,FARP2
FARSB,FARSB
FASLG,FASLG
FASN,FASN
FASTK,FASTK
FASTKD3,FASTKD3
FASTKD5,FASTKD5
FATE1,FATE1
FAU,FAU
FBL,FBL
FBLN2,FBLN2
FBLN5,FBLN5
FBLN7,FBLN7
FBXL13,FBXL13
FBXL14,FBXL14
FBXL16,FBXL16
FBXL2,FBXL2
FBXL5,FBXL5
FBXL6,FBXL6
FBXO10,FBXO10
FBXO15,FBXO15
FBXO27,FBXO27
FBXO39,FBXO39
FBXO42,FBXO42
FBXO46,FBXO46
FBXO6,FBXO6
FBXO8,FBXO8
FBXO9,FBXO9
FBXW12,FBXW12
FCGBP,FCGBP
FCGR2C,FCGR2C
FERMT3,FERMT3
FEV,FEV
FEZ1,FEZ1
FFAR2,FFAR2
FGD3,FGD3
FGF20,FGF20
FGF21,FGF21
FGF8,FGF8
FHIT,FHIT
FHOD1,FHOD1
FHOD3,FHOD3
FIBIN,FIBIN
FIBP,FIBP
FICD,FICD
FIGLA,FIGLA
FIGNL1,FIGNL1
FIZ1,FIZ1
FKBP10,FKBP10
FKBP15,FKBP15
FKBP2,FKBP2
FKBPL,FKBPL
FLG2,FLG2
FLI1,FLI1
FLJ16734,FLJ16734
FLJ25363,FLJ25363
FLJ25917,FLJ25917
FLJ33534,FLJ33534
FLJ36848,FLJ36848
FLJ43944,FLJ43944
FLJ44477,FLJ44477
FLJ45684,FLJ45684
FLT3,FLT3
FLT3LG,FLT3LG
FMNL1,FMNL1
FMO5,FMO5
FMOD,FMOD
FMR1NB,FMR1NB
FN1,FN1
FN3KRP,FN3KRP
FNBP1L,FNBP1L
FNTB,FNTB
