substanceBXH,gene_symbol
SI,SI
SIAH3,SIAH3
SIDT2,SIDT2
SIGLEC6,SIGLEC6
SIGMAR1,SIGMAR1
SIK2,SIK2
SIPA1L3,SIPA1L3
SIRPG,SIRPG
SIRT4,SIRT4
SIT1,SIT1
SIX6,SIX6
SKA3,SKA3
SKIV2L2,SKIV2L2
SKP2,SKP2
SLA2,SLA2
SLAIN2,SLAIN2
SLAMF7,SLAMF7
SLAMF9,SLAMF9
SLBP,SLBP
SLC12A2,SLC12A2
SLC12A6,SLC12A6
SLC16A1,SLC16A1
SLC16A3,SLC16A3
SLC17A3,SLC17A3
SLC18A2,SLC18A2
SLC18A3,SLC18A3
SLC1A2,SLC1A2
SLC1A6,SLC1A6
SLC20A2,SLC20A2
SLC22A13,SLC22A13
SLC22A25,SLC22A25
SLC22A5,SLC22A5
SLC24A1,SLC24A1
SLC24A2,SLC24A2
SLC25A11,SLC25A11
SLC25A14,SLC25A14
SLC25A18,SLC25A18
SLC25A28,SLC25A28
SLC25A3,SLC25A3
SLC25A31,SLC25A31
SLC25A33,SLC25A33
SLC25A38,SLC25A38
SLC25A46,SLC25A46
SLC25A47,SLC25A47
SLC26A2,SLC26A2
SLC26A8,SLC26A8
SLC27A2,SLC27A2
SLC2A14,SLC2A14
SLC2A4,SLC2A4
SLC30A3,SLC30A3
SLC30A8,SLC30A8
SLC30A9,SLC30A9
SLC32A1,SLC32A1
SLC34A3,SLC34A3
SLC35A1,SLC35A1
SLC35F4,SLC35F4
SLC36A2,SLC36A2
SLC39A11,SLC39A11
SLC39A13,SLC39A13
SLC39A2,SLC39A2
SLC39A3,SLC39A3
SLC39A4,SLC39A4
SLC40A1,SLC40A1
SLC43A2,SLC43A2
SLC45A3,SLC45A3
SLC46A2,SLC46A2
SLC47A2,SLC47A2
SLC48A1,SLC48A1
SLC4A3,SLC4A3
SLC4A7,SLC4A7
SLC50A1,SLC50A1
SLC5A1,SLC5A1
SLC5A2,SLC5A2
SLC6A18,SLC6A18
SLC7A13,SLC7A13
SLC7A4,SLC7A4
SLC7A5,SLC7A5
SLC7A7,SLC7A7
SLC8A2,SLC8A2
SLC9A2,SLC9A2
SLC9A3R2,SLC9A3R2
SLC9A8,SLC9A8
SLCO1B1,SLCO1B1
SLCO2A1,SLCO2A1
SLFN12,SLFN12
SLIT1,SLIT1
SLIT2,SLIT2
SLITRK1,SLITRK1
SLITRK5,SLITRK5
SLMO2,SLMO2
SLN,SLN
SLPI,SLPI
SLX4,SLX4
SMAD5,SMAD5
SMARCC1,SMARCC1
SMC5,SMC5
SMCR8,SMCR8
SMEK2,SMEK2
SMG6,SMG6
SMG8,SMG8
SMO,SMO
SMOC1,SMOC1
SMPDL3B,SMPDL3B
SMTN,SMTN
SMU1,SMU1
SNAI2,SNAI2
SNAP23,SNAP23
SNCA,SNCA
SNCAIP,SNCAIP
SNCG,SNCG
SNF8,SNF8
SNRK,SNRK
SNRPD3,SNRPD3
SNTA1,SNTA1
SNTG2,SNTG2
SNTN,SNTN
SNX11,SNX11
SNX18,SNX18
SNX19,SNX19
SNX20,SNX20
SNX33,SNX33
SOBP,SOBP
SOCS1,SOCS1
SOCS2,SOCS2
SOCS6,SOCS6
SOCS7,SOCS7
SOD1,SOD1
SOD2,SOD2
SOX15,SOX15
SOX3,SOX3
SOX7,SOX7
SP140L,SP140L
SPAST,SPAST
SPATA16,SPATA16
SPATA19,SPATA19
SPATA7,SPATA7
SPCS2,SPCS2
SPCS3,SPCS3
SPESP1,SPESP1
SPHKAP,SPHKAP
SPINK6,SPINK6
SPINK7,SPINK7
SPINT3,SPINT3
SPIRE1,SPIRE1
SPOCD1,SPOCD1
SPOP,SPOP
SPPL2A,SPPL2A
SPRED1,SPRED1
SPRR2F,SPRR2F
SPSB4,SPSB4
SPTA1,SPTA1
SPTLC2,SPTLC2
SQLE,SQLE
SQSTM1,SQSTM1
SRCAP,SRCAP
SRCRB4D,SRCRB4D
SRF,SRF
SRGAP3,SRGAP3
SRP54,SRP54
SRP68,SRP68
SRPK3,SRPK3
SRPX2,SRPX2
SRRM1,SRRM1
SRRM5,SRRM5
SRSF2,SRSF2
SRSF6,SRSF6
SRSF8,SRSF8
SSR1,SSR1
ST3GAL2,ST3GAL2
ST3GAL6,ST3GAL6
ST6GAL1,ST6GAL1
ST8SIA1,ST8SIA1
STAB1,STAB1
STAC,STAC
STAMBP,STAMBP
STAP2,STAP2
STARD10,STARD10
STARD3,STARD3
STARD3NL,STARD3NL
STAT2,STAT2
STC2,STC2
STEAP1B,STEAP1B
STK32B,STK32B
STK35,STK35
STK36,STK36
STK39,STK39
STK40,STK40
STOML2,STOML2
STS,STS
STX16,STX16
STX19,STX19
STX3,STX3
STX8,STX8
STYX,STYX
SUDS3,SUDS3
SULT1B1,SULT1B1
SULT4A1,SULT4A1
SULT6B1,SULT6B1
SUMO3,SUMO3
SUN3,SUN3
SUPV3L1,SUPV3L1
SURF6,SURF6
SUV39H1,SUV39H1
SUV39H2,SUV39H2
SUZ12,SUZ12
SV2C,SV2C
SYAP1,SYAP1
SYCN,SYCN
SYDE2,SYDE2
SYNDIG1,SYNDIG1
SYNE1,SYNE1
SYT11,SYT11
SYT14,SYT14
SYT8,SYT8
SYTL2,SYTL2
SZT2,SZT2
TAAR1,TAAR1
TAC1,TAC1
TAC3,TAC3
TACC2,TACC2
TACO1,TACO1
TACSTD2,TACSTD2
TAF15,TAF15
TAF1A,TAF1A
TAF1C,TAF1C
TAF1L,TAF1L
TAF2,TAF2
TAF9B,TAF9B
TAGLN2,TAGLN2
TALDO1,TALDO1
TAOK2,TAOK2
TAP1,TAP1
TARP,TARP
TAS2R14,TAS2R14
TAS2R41,TAS2R41
TAS2R5,TAS2R5
TAS2R8,TAS2R8
TASP1,TASP1
TBC1D17,TBC1D17
TBC1D23,TBC1D23
TBC1D24,TBC1D24
TBC1D29,TBC1D29
TBC1D2B,TBC1D2B
TBC1D30,TBC1D30
TBC1D3G,TBC1D3G
TBC1D8,TBC1D8
TBC1D9B,TBC1D9B
TBL2,TBL2
TBR1,TBR1
TBX20,TBX20
TCEAL2,TCEAL2
TCEAL5,TCEAL5
TCEAL6,TCEAL6
TCEB2,TCEB2
TCEB3B,TCEB3B
TCERG1,TCERG1
TCF21,TCF21
TCF4,TCF4
TCF7L1,TCF7L1
TCHHL1,TCHHL1
TCL1A,TCL1A
TCTEX1D1,TCTEX1D1
TDO2,TDO2
TDP2,TDP2
TDRD9,TDRD9
TEC,TEC
TEDDM1,TEDDM1
TEF,TEF
TELO2,TELO2
TEP1,TEP1
TERF2,TERF2
TES,TES
TEX101,TEX101
TEX13A,TEX13A
TEX22,TEX22
TEX264,TEX264
TEX28,TEX28
TFE3,TFE3
TG,TG
TGDS,TGDS
TGFB2,TGFB2
TGFB3,TGFB3
TGM1,TGM1
THAP1,THAP1
THAP4,THAP4
THG1L,THG1L
THOC5,THOC5
THOC7,THOC7
THSD4,THSD4
TIGD6,TIGD6
TIMELESS,TIMELESS
TIMM44,TIMM44
TIMM9,TIMM9
TIMP4,TIMP4
TIPRL,TIPRL
TJP3,TJP3
TLN2,TLN2
TM9SF1,TM9SF1
TMC2,TMC2
TMC4,TMC4
TMEFF2,TMEFF2
TMEM102,TMEM102
TMEM105,TMEM105
TMEM106A,TMEM106A
TMEM114,TMEM114
TMEM123,TMEM123
TMEM126A,TMEM126A
TMEM132A,TMEM132A
TMEM141,TMEM141
TMEM143,TMEM143
TMEM14C,TMEM14C
TMEM150A,TMEM150A
TMEM159,TMEM159
TMEM17,TMEM17
TMEM170A,TMEM170A
TMEM171,TMEM171
TMEM173,TMEM173
TMEM175,TMEM175
TMEM179,TMEM179
TMEM180,TMEM180
TMEM182,TMEM182
TMEM198,TMEM198
TMEM2,TMEM2
TMEM229B,TMEM229B
TMEM31,TMEM31
TMEM38B,TMEM38B
TMEM45B,TMEM45B
TMEM47,TMEM47
TMEM55A,TMEM55A
TMEM55B,TMEM55B
TMEM59L,TMEM59L
TMEM63B,TMEM63B
TMEM72,TMEM72
TMEM74,TMEM74
TMPRSS11E,TMPRSS11E
TMPRSS12,TMPRSS12
TMSB10,TMSB10
TMSB15B,TMSB15B
TMSB4Y,TMSB4Y
TMUB1,TMUB1
TNFAIP8L2,TNFAIP8L2
TNFRSF11A,TNFRSF11A
TNFRSF11B,TNFRSF11B
TNFRSF13B,TNFRSF13B
TNFRSF4,TNFRSF4
TNFRSF9,TNFRSF9
TNFSF11,TNFSF11
TNFSF15,TNFSF15
TNFSF18,TNFSF18
TNFSF8,TNFSF8
TNN,TNN
TNNI1,TNNI1
TNNI3K,TNNI3K
TNS3,TNS3
TOB2,TOB2
TOM1L1,TOM1L1
TOMM70A,TOMM70A
TOP1,TOP1
TOPBP1,TOPBP1
TP53INP2,TP53INP2
TPCN2,TPCN2
TPK1,TPK1
TPRX1,TPRX1
TPST2,TPST2
TPX2,TPX2
TRA2A,TRA2A
TRDN,TRDN
TREM2,TREM2
TRIAP1,TRIAP1
TRIM2,TRIM2
TRIM22,TRIM22
TRIM23,TRIM23
TRIM40,TRIM40
TRIM41,TRIM41
TRIM42,TRIM42
TRIM45,TRIM45
TRIM5,TRIM5
TRIM54,TRIM54
TRIM56,TRIM56
TRIM60,TRIM60
TRIM63,TRIM63
TRIM66,TRIM66
TRIM67,TRIM67
TRIML1,TRIML1
TRIP11,TRIP11
TRIP4,TRIP4
TRMT1,TRMT1
TRMT12,TRMT12
TRMT1L,TRMT1L
TRNAU1AP,TRNAU1AP
TRPM2,TRPM2
TRPS1,TRPS1
TRPV4,TRPV4
TSC1,TSC1
TSC22D1,TSC22D1
TSC22D2,TSC22D2
TSC22D4,TSC22D4
TSEN2,TSEN2
TSHZ1,TSHZ1
TSHZ3,TSHZ3
TSPAN16,TSPAN16
TSPAN7,TSPAN7
TSPYL1,TSPYL1
TSPYL2,TSPYL2
TSPYL4,TSPYL4
TSSC1,TSSC1
TSSK1B,TSSK1B
TSSK4,TSSK4
TSSK6,TSSK6
TTC18,TTC18
TTC21A,TTC21A
TTC21B,TTC21B
TTC24,TTC24
TTC30B,TTC30B
TTC36,TTC36
TTK,TTK
TTLL13,TTLL13
TTLL2,TTLL2
TTLL7,TTLL7
TTLL8,TTLL8
TTYH2,TTYH2
TTYH3,TTYH3
TUBB2A,TUBB2A
TUBB6,TUBB6
TUBG1,TUBG1
TUBGCP5,TUBGCP5
TULP2,TULP2
TUSC3,TUSC3
TUT1,TUT1
TWF1,TWF1
TWF2,TWF2
TXNDC3,TXNDC3
TXNRD2,TXNRD2
TXNRD3NB,TXNRD3NB
TYK2,TYK2
TYMP,TYMP
TYMS,TYMS
TYRP1,TYRP1
TYW3,TYW3
U2AF1L4,U2AF1L4
U2SURP,U2SURP
UBA1,UBA1
UBA2,UBA2
UBA7,UBA7
UBAC1,UBAC1
UBAP2,UBAP2
UBE2D4,UBE2D4
UBE2F,UBE2F
UBE2H,UBE2H
UBE2K,UBE2K
UBE2L6,UBE2L6
UBL5,UBL5
UBQLNL,UBQLNL
UBR4,UBR4
UBR7,UBR7
UBTD2,UBTD2
UBXN4,UBXN4
UCN2,UCN2
UCN3,UCN3
UCP3,UCP3
UGCG,UGCG
UGT2B10,UGT2B10
UGT3A2,UGT3A2
UHRF1BP1,UHRF1BP1
UIMC1,UIMC1
UNC119,UNC119
UNC45B,UNC45B
UNC50,UNC50
UNC5CL,UNC5CL
UNC5D,UNC5D
UPK1B,UPK1B
UPK2,UPK2
UQCRC2,UQCRC2
UQCRFS1,UQCRFS1
USMG5,USMG5
USP25,USP25
USP26,USP26
USP29,USP29
USP30,USP30
USP33,USP33
USP50,USP50
USP6NL,USP6NL
USP8,USP8
USP9Y,USP9Y
UTP20,UTP20
UTP3,UTP3
TCF7L1-IT1,TCF7L1-IT1
BCYRN1,BCYRN1
LINC00486,LINC00486
U91324.1,U91324.1
LINC00471,LINC00471
ANKRD44-IT1,ANKRD44-IT1
HOXD-AS1,HOXD-AS1
EFCAB14-AS1,EFCAB14-AS1
MKNK1-AS1,MKNK1-AS1
ST6GAL2-IT1,ST6GAL2-IT1
RMDN2-AS1,RMDN2-AS1
LINC00211,LINC00211
AL133249.1,AL133249.1
SMIM12-AS1,SMIM12-AS1
TSSC1-IT1,TSSC1-IT1
CTD-2619J13.9,CTD-2619J13.9
CTD-3138B18.6,CTD-3138B18.6
CTC-444N24.11,CTC-444N24.11
MIMT1,MIMT1
CTD-2621I17.6,CTD-2621I17.6
CTD-2611O12.8,CTD-2611O12.8
CTD-2537I9.13,CTD-2537I9.13
hsa-mir-519a-2,hsa-mir-519a-2
CTC-429C10.2,CTC-429C10.2
CTD-2616J11.9,CTD-2616J11.9
CTD-2616J11.16,CTD-2616J11.16
CTC-518B2.9,CTC-518B2.9
CTB-147C22.9,CTB-147C22.9
CTB-147C22.8,CTB-147C22.8
CTD-2639E6.9,CTD-2639E6.9
CTC-453G23.8,CTC-453G23.8
CTC-378H22.2,CTC-378H22.2
CTC-471F3.6,CTC-471F3.6
CTD-2540F13.2,CTD-2540F13.2
CTD-2086O20.3,CTD-2086O20.3
CTD-2293H3.1,CTD-2293H3.1
AD001527.5,AD001527.5
AF038458.2,AF038458.2
AD000864.5,AD000864.5
U62631.5,U62631.5
AD000684.2,AD000684.2
SCGB2B3P,SCGB2B3P
CTD-2540B15.9,CTD-2540B15.9
CTD-2540B15.10,CTD-2540B15.10
CTC-379B2.4,CTC-379B2.4
CTC-325L16.1,CTC-325L16.1
CTD-2050I18.1,CTD-2050I18.1
CTC-439O9.3,CTC-439O9.3
CTC-400I9.2,CTC-400I9.2
CTB-176F20.3,CTB-176F20.3
CTD-2542C24.8,CTD-2542C24.8
CTC-513N18.6,CTC-513N18.6
CTD-3137H5.1,CTD-3137H5.1
CTD-3222D19.11,CTD-3222D19.11
CTD-2231E14.4,CTD-2231E14.4
CTC-548K16.1,CTC-548K16.1
CTC-425F1.2,CTC-425F1.2
CTD-2659N19.2,CTD-2659N19.2
CTD-2192J16.11,CTD-2192J16.11
CTD-2553C6.1,CTD-2553C6.1
CTD-2586B10.1,CTD-2586B10.1
CTB-180A7.8,CTB-180A7.8
CTB-66B24.1,CTB-66B24.1
CTC-232P5.1,CTC-232P5.1
CTC-482H14.5,CTC-482H14.5
CTB-50L17.7,CTB-50L17.7
ZBTB40-IT1,ZBTB40-IT1
CDC42-IT1,CDC42-IT1
CTB-25B13.9,CTB-25B13.9
CTB-25B13.13,CTB-25B13.13
CTD-2619J13.23,CTD-2619J13.23
CTD-2537I9.5,CTD-2537I9.5
CTD-2105E13.13,CTD-2105E13.13
CTD-2105E13.15,CTD-2105E13.15
CTD-2587H19.3,CTD-2587H19.3
CTD-2587H19.1,CTD-2587H19.1
CTC-471J1.8,CTC-471J1.8
hsa-mir-125a,hsa-mir-125a
CTD-2560K21.6,CTD-2560K21.6
CTB-191K22.5,CTB-191K22.5
CTB-12A17.3,CTB-12A17.3
CTC-512J12.4,CTC-512J12.4
CTC-490G23.2,CTC-490G23.2
CTC-490E21.10,CTC-490E21.10
CTC-218B8.3,CTC-218B8.3
CTC-360G5.9,CTC-360G5.9
CTD-2528L19.6,CTD-2528L19.6
UPK1A-AS1,UPK1A-AS1
CTD-2527I21.7,CTD-2527I21.7
CTD-2588C8.8,CTD-2588C8.8
CTD-2085J24.4,CTD-2085J24.4
CTC-360P9.5,CTC-360P9.5
CTC-360P9.1,CTC-360P9.1
CTC-525D6.2,CTC-525D6.2
CTC-457E21.1,CTC-457E21.1
CTD-2521M24.5,CTD-2521M24.5
CTC-429P9.5,CTC-429P9.5
CTD-3222D19.5,CTD-3222D19.5
CTD-2562J15.4,CTD-2562J15.4
AD000091.2,AD000091.2
CTD-3252C9.2,CTD-3252C9.2
CTC-239J10.1,CTC-239J10.1
CTD-2342J14.6,CTD-2342J14.6
CTC-215O4.4,CTC-215O4.4
CTD-3193O13.13,CTD-3193O13.13
CTC-265F19.2,CTC-265F19.2
CTD-2286N8.2,CTD-2286N8.2
CTD-2008L17.1,CTD-2008L17.1
CAMTA1-IT1,CAMTA1-IT1
CTD-2124B20.3,CTD-2124B20.3
CTD-2015H3.1,CTD-2015H3.1
CTD-2015H3.2,CTD-2015H3.2
CTD-2526M8.2,CTD-2526M8.2
CTD-2526M8.3,CTD-2526M8.3
CTD-2171N6.1,CTD-2171N6.1
FAM87B,FAM87B
LYPD8,LYPD8
AATK-AS1,AATK-AS1
CTD-2116F7.1,CTD-2116F7.1
CTD-2246P4.1,CTD-2246P4.1
CTD-2532D12.4,CTD-2532D12.4
ABCA9-AS1,ABCA9-AS1
CTD-2319I12.2,CTD-2319I12.2
HOXB-AS4,HOXB-AS4
CTC-296K1.3,CTC-296K1.3
CTB-175E5.7,CTB-175E5.7
CTD-2267D19.6,CTD-2267D19.6
CTB-58E17.2,CTB-58E17.2
CTD-3194G12.1,CTD-3194G12.1
CTB-75G16.3,CTB-75G16.3
CTC-304I17.2,CTC-304I17.2
CDRT7,CDRT7
CTB-41I6.2,CTB-41I6.2
CTD-3195I5.3,CTD-3195I5.3
CTD-2561B21.10,CTD-2561B21.10
MIR3615,MIR3615
LINC00469,LINC00469
hsa-mir-6080,hsa-mir-6080
CTC-264K15.6,CTC-264K15.6
CTD-2319I12.5,CTD-2319I12.5
TBC1D3P1-DHX40P1,TBC1D3P1-DHX40P1
LINC00582,LINC00582
CTD-2020K17.4,CTD-2020K17.4
CTC-296K1.4,CTC-296K1.4
CTD-2132N18.2,CTD-2132N18.2
CTD-2206N4.2,CTD-2206N4.2
CTB-58E17.9,CTB-58E17.9
CTC-304I17.3,CTC-304I17.3
CTD-2349P21.11,CTD-2349P21.11
MIR4522,MIR4522
CTD-2104P17.2,CTD-2104P17.2
CTB-187M2.2,CTB-187M2.2
RAI1-AS1,RAI1-AS1
MPRIP-AS1,MPRIP-AS1
CTB-104H12.4,CTB-104H12.4
MIR497HG,MIR497HG
CTC-281F24.1,CTC-281F24.1
CTC-524C5.2,CTC-524C5.2
hsa-mir-212,hsa-mir-212
CTD-2542L18.1,CTD-2542L18.1
CTD-2588J6.2,CTD-2588J6.2
CTC-479C5.16,CTC-479C5.16
CTC-527H23.3,CTC-527H23.3
CTD-2196E14.3,CTD-2196E14.3
CTA-972D3.2,CTA-972D3.2
AF001548.6,AF001548.6
LA16c-312E8.2,LA16c-312E8.2
LA16c-366D3.1,LA16c-366D3.1
Z69666.2,Z69666.2
KCNH1-IT1,KCNH1-IT1
CTD-2012K14.3,CTD-2012K14.3
CTD-2012K14.2,CTD-2012K14.2
CTD-2050B12.2,CTD-2050B12.2
CTD-2050B12.1,CTD-2050B12.1
CTD-2144E22.6,CTD-2144E22.6
CTD-2014E2.2,CTD-2014E2.2
CTD-2515A14.1,CTD-2515A14.1
CTD-2313J23.1,CTD-2313J23.1
CTD-2196E14.5,CTD-2196E14.5
CTA-276F8.2,CTA-276F8.2
CTD-2135D7.4,CTD-2135D7.4
CTD-2135D7.2,CTD-2135D7.2
U95743.1,U95743.1
CTD-2535I10.1,CTD-2535I10.1
AJ003147.8,AJ003147.8
GS1-204I12.1,GS1-204I12.1
LA16c-329F2.1,LA16c-329F2.1
LA16c-425C2.1,LA16c-425C2.1
LA16c-349E10.1,LA16c-349E10.1
Z84812.4,Z84812.4
CTD-2315E11.1,CTD-2315E11.1
NTRK3-AS1,NTRK3-AS1
CTD-2240J17.1,CTD-2240J17.1
CTD-2071N1.1,CTD-2071N1.1
ADPGK-AS1,ADPGK-AS1
CTD-2184D3.4,CTD-2184D3.4
CTD-2007H18.1,CTD-2007H18.1
CTD-2382E5.3,CTD-2382E5.3
CT60,CT60
CTD-2643K12.3,CTD-2643K12.3
CTD-2329K10.1,CTD-2329K10.1
AL132709.8,AL132709.8
AL132796.1,AL132796.1
AL133168.3,AL133168.3
CTD-2547L24.4,CTD-2547L24.4
LINC00642,LINC00642
CTD-2142D14.1,CTD-2142D14.1
LINC00609,LINC00609
LINC00645,LINC00645
AL161668.5,AL161668.5
LINC00516,LINC00516
ASH1L-IT1,ASH1L-IT1
LINC00524,LINC00524
CTD-2644I21.1,CTD-2644I21.1
AL157871.2,AL157871.2
CTD-2335K5.1,CTD-2335K5.1
CTD-2540L5.6,CTD-2540L5.6
CTD-2325P2.3,CTD-2325P2.3
CTD-2566J3.1,CTD-2566J3.1
CTD-2509G16.2,CTD-2509G16.2
CTD-2555O16.1,CTD-2555O16.1
LINC00644,LINC00644
HIF1A-AS2,HIF1A-AS2
HIF1A-AS1,HIF1A-AS1
AL163953.2,AL163953.2
PTCSC3,PTCSC3
CTD-2311B13.5,CTD-2311B13.5
GAS6-AS1,GAS6-AS1
DCUN1D2-AS1,DCUN1D2-AS1
LINC00460,LINC00460
DOCK9-AS1,DOCK9-AS1
LINC00560,LINC00560
RBM26-AS1,RBM26-AS1
POU4F1-AS1,POU4F1-AS1
MYCBP2-AS2,MYCBP2-AS2
DIAPH3-AS2,DIAPH3-AS2
LINC00372,LINC00372
SUCLA2-AS1,SUCLA2-AS1
ENOX1-AS2,ENOX1-AS2
LINC00445,LINC00445
C1QTNF9B-AS1,C1QTNF9B-AS1
PSPC1-OT1,PSPC1-OT1
LINC00404,LINC00404
COL4A2-AS1,COL4A2-AS1
MYO16-AS1,MYO16-AS1
MYO16-AS2,MYO16-AS2
FAM155A-IT1,FAM155A-IT1
CLDN10-AS1,CLDN10-AS1
LINC00448,LINC00448
LINC00441,LINC00441
SMAD9-AS1,SMAD9-AS1
LINC00457,LINC00457
LINC00297,LINC00297
LINC00362,LINC00362
HOXB-AS2,HOXB-AS2
TUG1,TUG1
XX-FW81066F1.2,XX-FW81066F1.2
HOXA11-AS,HOXA11-AS
AL583842.1,AL583842.1
FAM230B,FAM230B
LA16c-83F12.6,LA16c-83F12.6
TTC3-AS1,TTC3-AS1
DENND5B-AS1,DENND5B-AS1
TTTY15,TTTY15
LINC00474,LINC00474
CTD-2336O2.1,CTD-2336O2.1
PRKAG2-AS1,PRKAG2-AS1
LINC00265,LINC00265
EMG1,EMG1
CTC-338M12.4,CTC-338M12.4
CTB-131B5.4,CTB-131B5.4
CTD-2015H6.3,CTD-2015H6.3
CTD-2089N3.1,CTD-2089N3.1
FAM13A-AS1,FAM13A-AS1
CTA-211A9.5,CTA-211A9.5
CBR3-AS1,CBR3-AS1
IDH1-AS1,IDH1-AS1
CTD-2291D10.3,CTD-2291D10.3
CTD-2562J15.6,CTD-2562J15.6
KCND3-IT1,KCND3-IT1
LINC00439,LINC00439
LINC00301,LINC00301
SEPT7L,SEPT7L
KDM4A-AS1,KDM4A-AS1
MAPKAPK5-AS1,MAPKAPK5-AS1
XXbac-BPG32J3.20,XXbac-BPG32J3.20
SERHL,SERHL
AP000346.2,AP000346.2
XXbac-B461K10.4,XXbac-B461K10.4
ANKRD62P1-PARP4P3,ANKRD62P1-PARP4P3
AD000685.1,AD000685.1
UHRF1,UHRF1
CTC-513N18.7,CTC-513N18.7
MAP3K14,MAP3K14
CTD-2524L6.2,CTD-2524L6.2
NR2E3,NR2E3
TMPO-AS1,TMPO-AS1
AL163636.6,AL163636.6
VPS11,VPS11
DDX11-AS1,DDX11-AS1
CTC-465D4.1,CTC-465D4.1
DPYD-IT1,DPYD-IT1
A2ML1-AS2,A2ML1-AS2
A2ML1-AS1,A2ML1-AS1
CD27-AS1,CD27-AS1
AP002856.5,AP002856.5
AP002856.6,AP002856.6
CTD-2216M2.1,CTD-2216M2.1
AP002954.3,AP002954.3
FAM225A,FAM225A
CTD-3064M3.1,CTD-3064M3.1
AP000997.2,AP000997.2
AP000462.3,AP000462.3
CTC-276P9.1,CTC-276P9.1
CTD-2170G1.2,CTD-2170G1.2
WWC2-AS2,WWC2-AS2
IGSF11-AS1,IGSF11-AS1
LINC00698,LINC00698
LINC00852,LINC00852
NAALADL2-AS3,NAALADL2-AS3
ADORA2A-AS1,ADORA2A-AS1
AP001476.2,AP001476.2
DSCR9,DSCR9
AP000233.2,AP000233.2
AP001347.6,AP001347.6
CTD-3162L10.1,CTD-3162L10.1
CSNK1G2-AS1,CSNK1G2-AS1
LINC00526,LINC00526
SLX1A-SULT1A3,SLX1A-SULT1A3
LINC00707,LINC00707
WDR11-AS1,WDR11-AS1
GATA3-AS1,GATA3-AS1
AP001189.4,AP001189.4
CTD-2530H12.4,CTD-2530H12.4
CTD-2562J17.9,CTD-2562J17.9
CTD-2562J17.7,CTD-2562J17.7
ARAP1-AS1,ARAP1-AS1
SHANK2-AS2,SHANK2-AS2
AP000439.1,AP000439.1
AP000438.2,AP000438.2
AP000442.1,AP000442.1
LRP4-AS1,LRP4-AS1
CTD-2210P24.1,CTD-2210P24.1
CTD-2507G9.1,CTD-2507G9.1
AP005135.2,AP005135.2
NTM-IT2,NTM-IT2
CTD-2555I5.1,CTD-2555I5.1
CTD-2530H12.7,CTD-2530H12.7
CTD-2313N18.5,CTD-2313N18.5
TTLL10-AS1,TTLL10-AS1
AP001271.5,AP001271.5
AP001271.3,AP001271.3
AP000487.4,AP000487.4
CTA-797E19.2,CTA-797E19.2
AP000439.2,AP000439.2
AP003068.9,AP003068.9
AP001187.9,AP001187.9
C11orf95,C11orf95
CTD-2531D15.4,CTD-2531D15.4
AP000442.4,AP000442.4
CTD-2589M5.4,CTD-2589M5.4
CTD-2560E9.3,CTD-2560E9.3
CTD-2140G10.1,CTD-2140G10.1
CTD-3064C13.1,CTD-3064C13.1
NAV2-AS1,NAV2-AS1
NAV2-AS2,NAV2-AS2
NAV2-AS5,NAV2-AS5
CTC-497E21.3,CTC-497E21.3
hsa-mir-107,hsa-mir-107
LINC00845,LINC00845
LINC00844,LINC00844
LINC00841,LINC00841
ZNF32-AS2,ZNF32-AS2
AL022344.5,AL022344.5
CYP4A22-AS1,CYP4A22-AS1
LINC00601,LINC00601
TTTY4C,TTTY4C
TTTY5,TTTY5
FAM41AY2,FAM41AY2
NLGN4Y-AS1,NLGN4Y-AS1
TTTY1,TTTY1
FAM197Y3,FAM197Y3
TTTY16,TTTY16
HCFC1-AS1,HCFC1-AS1
U82695.10,U82695.10
LL0XNC01-37G1.1,LL0XNC01-37G1.1
WI2-80269A6.1,WI2-80269A6.1
FMR1-IT1,FMR1-IT1
SPANXA2-OT1,SPANXA2-OT1
LL0XNC01-250H12.2,LL0XNC01-250H12.2
NXF4,NXF4
LINC00269,LINC00269
ZNF630-AS1,ZNF630-AS1
CASK-AS1,CASK-AS1
GK-IT1,GK-IT1
PCYT1B-AS1,PCYT1B-AS1
EIF1AX-AS1,EIF1AX-AS1
GS1-519E5.1,GS1-519E5.1
GPR50-AS1,GPR50-AS1
XIAP-AS1,XIAP-AS1
ALG13-AS1,ALG13-AS1
TCEAL3-AS1,TCEAL3-AS1
ARMCX3-AS1,ARMCX3-AS1
MID1IP1-AS1,MID1IP1-AS1
DHRSX-IT1,DHRSX-IT1
SNORD62A,SNORD62A
SNHG7,SNHG7
FAM225B,FAM225B
XXyac-YM21GA2.3,XXyac-YM21GA2.3
VPS13A-AS1,VPS13A-AS1
CTD-2501M5.1,CTD-2501M5.1
KIAA0196-AS1,KIAA0196-AS1
KB-1299A7.2,KB-1299A7.2
KB-1507C5.3,KB-1507C5.3
KB-1732A1.1,KB-1732A1.1
KB-1107E3.1,KB-1107E3.1
KB-1410C5.3,KB-1410C5.3
CTD-3239E11.2,CTD-3239E11.2
LINC00588,LINC00588
PRKG1-AS1,PRKG1-AS1
HMBOX1-IT1,HMBOX1-IT1
AF131215.8,AF131215.8
CTD-3023L14.1,CTD-3023L14.1
AF186192.1,AF186192.1
RHPN1-AS1,RHPN1-AS1
KB-1410C5.2,KB-1410C5.2
KB-1608C10.2,KB-1608C10.2
GS1-251I9.2,GS1-251I9.2
